country,year,avg_reading
Albania,2009,384.81660238383694
Albania,2012,393.96425195863907
Albania,2015,405.258760080247
Albania,2018,405.429366265036
Albania,2022,358.434758201377
Algeria,2015,349.859252462198
Argentina,2009,398.260879916509
Argentina,2012,395.979122756395
Argentina,2015,425.303119437686
Argentina,2018,401.503108989067
Argentina,2022,400.74404349290495
Australia,2009,514.900655282061
Australia,2012,511.803997635699
Australia,2015,502.900559808559
Australia,2018,502.631724296467
Australia,2022,498.05093978372093
Austria,2009,470.2836321014
Austria,2012,489.609335165838
Austria,2015,484.865597140278
Austria,2018,484.392568467887
Austria,2022,480.405847218299
B-S-J-G (China),2015,493.941212281351
B-S-J-Z (China),2018,555.236243937684
Baku (Azerbaijan),2018,389.388333926109
Baku (Azerbaijan),2022,365.213858305738
Belarus,2018,473.788447220801
Belgium,2009,505.94579616412096
Belgium,2012,508.61787650267297
Belgium,2015,498.524189185728
Belgium,2018,492.864438651366
Belgium,2022,478.852668384217
Bosnia and Herzegovina,2018,402.977821256095
Brazil,2009,411.754927390411
Brazil,2012,406.533157828888
Brazil,2015,407.34859226563697
Brazil,2018,412.873316507874
Brazil,2022,410.35697940699
Brunei Darussalam,2018,408.069943872968
Brunei Darussalam,2022,429.231911760259
Bulgaria,2009,429.08108701367297
Bulgaria,2012,436.125725414379
Bulgaria,2015,431.717532840855
Bulgaria,2018,419.84400605754706
Bulgaria,2022,404.303739515862
Cambodia,2022,328.842780366296
Canada,2009,524.241833323209
Canada,2012,523.124003069067
Canada,2015,526.667805420688
Canada,2018,520.085520949744
Canada,2022,507.132895827966
Chile,2009,449.36960714808
Chile,2012,441.39816388760494
Chile,2015,458.570876114578
Chile,2018,452.27255418349694
Chile,2022,447.978957349531
Chinese Taipei,2009,495.240465323958
Chinese Taipei,2012,523.118904016303
Chinese Taipei,2015,497.09909187809507
Chinese Taipei,2018,502.60114713439697
Chinese Taipei,2022,515.167289970959
Colombia,2009,413.18149910984
Colombia,2012,403.402534176932
Colombia,2015,424.90516701641695
Colombia,2018,412.29508499344496
Colombia,2022,408.66502644948997
Costa Rica,2012,440.547810736318
Costa Rica,2015,427.487548206914
Costa Rica,2018,426.49822500968094
Costa Rica,2022,415.233080211732
Croatia,2009,475.748886149044
Croatia,2012,484.56503220940493
Croatia,2015,486.863186279383
Croatia,2018,478.989152347431
Croatia,2022,475.498946498598
Cyprus,2012,448.952978603654
Cyprus,2015,442.831433208427
Cyprus,2018,424.358247109201
Cyprus,2022,381.075724444537
Czech Republic,2009,478.18672044853
Czech Republic,2012,492.88973841498
Czech Republic,2015,487.250141265609
Czech Republic,2018,490.21881483645507
Czech Republic,2022,488.603668674511
Denmark,2009,494.91616167816306
Denmark,2012,496.130881482586
Denmark,2015,499.814584102513
Denmark,2018,501.12993370997697
Denmark,2022,488.800990731327
Dominican Republic,2015,357.73769635133
Dominican Republic,2018,341.625620659642
Dominican Republic,2022,351.312286600181
El Salvador,2022,364.90364380566
