country,year,avg_science
Albania,2009,390.69574552442
Albania,2012,397.373213588442
Albania,2015,427.224982731528
Albania,2018,416.726257673674
Albania,2022,375.967750933563
Algeria,2015,375.745102082318
Argentina,2009,400.838520243204
Argentina,2012,405.632005164596
Argentina,2015,432.226248045147
Argentina,2018,404.07144490133106
Argentina,2022,406.191340624436
Australia,2009,527.270533936847
Australia,2012,521.494747179522
Australia,2015,509.993854209251
Australia,2018,502.964562811366
Australia,2022,507.000869417628
Austria,2009,494.327673154439
Austria,2012,505.78124786171094
Austria,2015,495.037486379706
Austria,2018,489.78043922683503
Austria,2022,491.27095877058497
B-S-J-G (China),2015,517.779281114996
B-S-J-Z (China),2018,590.452640531693
Baku (Azerbaijan),2018,397.649581116172
Baku (Azerbaijan),2022,380.143687424499
Belarus,2018,471.263680896404
Belgium,2009,506.575526139358
Belgium,2012,504.867654138898
Belgium,2015,501.999713681166
Belgium,2018,498.773127028532
Belgium,2022,490.578346106814
Bosnia and Herzegovina,2018,398.497662759779
Brazil,2009,405.403988680879
Brazil,2012,401.619684958651
Brazil,2015,400.682103068384
Brazil,2018,403.620941886862
Brazil,2022,403.001213613512
Brunei Darussalam,2018,430.98437659902
Brunei Darussalam,2022,445.855116490055
Bulgaria,2009,439.294148812207
Bulgaria,2012,446.46871013290496
Bulgaria,2015,445.771957916846
Bulgaria,2018,424.073582933774
Bulgaria,2022,420.993219387944
Cambodia,2022,347.104162261196
Canada,2009,528.704952999302
Canada,2012,525.441293246964
Canada,2015,527.7046841828329
Canada,2018,517.99766085055
Canada,2022,515.016675929483
Chile,2009,447.46736017641894
Chile,2012,444.933920734436
Chile,2015,446.956066364174
Chile,2018,443.582563380227
Chile,2022,443.543402462778
Chinese Taipei,2009,520.419792379168
Chinese Taipei,2012,523.314905764246
Chinese Taipei,2015,532.347454418556
Chinese Taipei,2018,515.748027840003
Chinese Taipei,2022,537.380380988292
Colombia,2009,401.750115046621
Colombia,2012,398.678631633915
Colombia,2015,415.728760576794
Colombia,2018,413.322992570509
Colombia,2022,411.120673264151
Costa Rica,2012,429.35096779493693
Costa Rica,2015,419.608033064258
Costa Rica,2018,415.622462040591
Costa Rica,2022,410.986623560298
Croatia,2009,486.363448475428
Croatia,2012,491.356583913561
Croatia,2015,475.391176687498
Croatia,2018,472.362619539633
Croatia,2022,482.667449343711
Cyprus,2012,437.676459943894
Cyprus,2015,432.576765603434
Cyprus,2018,439.008249677118
Cyprus,2022,410.902517377288
Czech Republic,2009,500.49706594167696
Czech Republic,2012,508.299080849578
Czech Republic,2015,492.830048328694
Czech Republic,2018,496.79131063200896
Czech Republic,2022,497.742047097685
Denmark,2009,499.336974687075
Denmark,2012,498.474202800223
Denmark,2015,501.936886977413
Denmark,2018,492.63703338438097
Denmark,2022,493.815711635731
Dominican Republic,2015,331.638827213739
Dominican Republic,2018,335.629946565763
Dominican Republic,2022,360.426059734475
El Salvador,2022,373.14131460314
Estonia,2009,527.831756059179
Estonia,2012,541.404757538085
Estonia,2015,534.193742077203
Estonia,2018,530.108004575418
Estonia,2022,525.811778388943
Finland,2009,554.079509782423
Finland,2012,545.441941092923
Finland,2015,530.661158860946
Finland,2018,521.884563001286
Finland,2022,510.958850656829
